ProvinceID,Province_Name,Year,DSL (Day)
10,Bangkok,1979,22
10,Bangkok,1980,9
10,Bangkok,1981,9
10,Bangkok,1982,10
10,Bangkok,1983,10
10,Bangkok,1984,12
10,Bangkok,1985,9
10,Bangkok,1986,9
10,Bangkok,1987,11
10,Bangkok,1988,7
10,Bangkok,1989,8
10,Bangkok,1990,10
10,Bangkok,1991,10
10,Bangkok,1992,10
10,Bangkok,1993,11
10,Bangkok,1994,14
10,Bangkok,1995,10
10,Bangkok,1996,10
10,Bangkok,1997,14
10,Bangkok,1998,11
10,Bangkok,1999,10
10,Bangkok,2000,7
10,Bangkok,2001,13
10,Bangkok,2002,11
10,Bangkok,2003,9
10,Bangkok,2004,17
10,Bangkok,2005,10
10,Bangkok,2006,11
10,Bangkok,2007,16
10,Bangkok,2008,9
10,Bangkok,2009,10
10,Bangkok,2010,11
10,Bangkok,2011,9
10,Bangkok,2012,9
10,Bangkok,2013,9
10,Bangkok,2014,7
10,Bangkok,2015,12
10,Bangkok,2016,15
10,Bangkok,2017,8
10,Bangkok,2018,8
10,Bangkok,2019,12
10,Bangkok,2020,11
10,Bangkok,2021,11
10,Bangkok,2022,12
10,Bangkok,2023,12
11,Samut Prakarn,1979,20
11,Samut Prakarn,1980,9
11,Samut Prakarn,1981,10
11,Samut Prakarn,1982,10
11,Samut Prakarn,1983,11
11,Samut Prakarn,1984,13
11,Samut Prakarn,1985,10
11,Samut Prakarn,1986,9
11,Samut Prakarn,1987,11
11,Samut Prakarn,1988,7
11,Samut Prakarn,1989,7
11,Samut Prakarn,1990,9
11,Samut Prakarn,1991,10
11,Samut Prakarn,1992,9
11,Samut Prakarn,1993,11
11,Samut Prakarn,1994,13
11,Samut Prakarn,1995,10
11,Samut Prakarn,1996,9
11,Samut Prakarn,1997,14
11,Samut Prakarn,1998,11
11,Samut Prakarn,1999,10
11,Samut Prakarn,2000,7
11,Samut Prakarn,2001,13
11,Samut Prakarn,2002,11
11,Samut Prakarn,2003,8
11,Samut Prakarn,2004,15
11,Samut Prakarn,2005,11
11,Samut Prakarn,2006,11
11,Samut Prakarn,2007,15
11,Samut Prakarn,2008,9
11,Samut Prakarn,2009,11
11,Samut Prakarn,2010,11
11,Samut Prakarn,2011,9
11,Samut Prakarn,2012,10
11,Samut Prakarn,2013,9
11,Samut Prakarn,2014,7
11,Samut Prakarn,2015,12
11,Samut Prakarn,2016,15
11,Samut Prakarn,2017,9
11,Samut Prakarn,2018,9
11,Samut Prakarn,2019,12
11,Samut Prakarn,2020,12
11,Samut Prakarn,2021,11
11,Samut Prakarn,2022,12
11,Samut Prakarn,2023,13
12,Nonthaburi,1979,23
12,Nonthaburi,1980,9
12,Nonthaburi,1981,9
12,Nonthaburi,1982,10
12,Nonthaburi,1983,10
12,Nonthaburi,1984,12
12,Nonthaburi,1985,9
12,Nonthaburi,1986,10
12,Nonthaburi,1987,11
12,Nonthaburi,1988,8
12,Nonthaburi,1989,8
12,Nonthaburi,1990,11
12,Nonthaburi,1991,10
12,Nonthaburi,1992,10
12,Nonthaburi,1993,12
12,Nonthaburi,1994,14
12,Nonthaburi,1995,10
12,Nonthaburi,1996,10
12,Nonthaburi,1997,14
12,Nonthaburi,1998,11
12,Nonthaburi,1999,10
12,Nonthaburi,2000,8
12,Nonthaburi,2001,13
12,Nonthaburi,2002,11
12,Nonthaburi,2003,9
12,Nonthaburi,2004,18
12,Nonthaburi,2005,10
12,Nonthaburi,2006,12
12,Nonthaburi,2007,16
12,Nonthaburi,2008,9
12,Nonthaburi,2009,10
12,Nonthaburi,2010,11
12,Nonthaburi,2011,9
12,Nonthaburi,2012,9
12,Nonthaburi,2013,10
12,Nonthaburi,2014,7
12,Nonthaburi,2015,13
12,Nonthaburi,2016,14
12,Nonthaburi,2017,8
12,Nonthaburi,2018,9
12,Nonthaburi,2019,12
12,Nonthaburi,2020,12
12,Nonthaburi,2021,11
12,Nonthaburi,2022,12
12,Nonthaburi,2023,11
13,Pathum Thani,1979,22
13,Pathum Thani,1980,8
13,Pathum Thani,1981,9
13,Pathum Thani,1982,8
13,Pathum Thani,1983,9
13,Pathum Thani,1984,12
13,Pathum Thani,1985,8
13,Pathum Thani,1986,9
13,Pathum Thani,1987,9
13,Pathum Thani,1988,7
13,Pathum Thani,1989,7
13,Pathum Thani,1990,9
13,Pathum Thani,1991,8
13,Pathum Thani,1992,10
13,Pathum Thani,1993,11
13,Pathum Thani,1994,14
13,Pathum Thani,1995,9
13,Pathum Thani,1996,9
13,Pathum Thani,1997,12
13,Pathum Thani,1998,12
13,Pathum Thani,1999,10
13,Pathum Thani,2000,8
13,Pathum Thani,2001,11
13,Pathum Thani,2002,11
13,Pathum Thani,2003,9
13,Pathum Thani,2004,19
13,Pathum Thani,2005,10
13,Pathum Thani,2006,14
13,Pathum Thani,2007,16
13,Pathum Thani,2008,9
13,Pathum Thani,2009,11
13,Pathum Thani,2010,11
13,Pathum Thani,2011,11
13,Pathum Thani,2012,10
13,Pathum Thani,2013,11
