YEAR,MONTH,MIN,MAX,MEAN
1970,1,0,387.6900024,24.47884024
1970,2,0,165.0899963,15.16515431
1970,3,0,198.3800049,47.72380857
1970,4,5.010000229,273.730011,90.81799487
1970,5,47.20000076,510.25,212.9676117
1970,6,24.25,1338.670044,258.2518704
1970,7,30.73999977,848,200.4149406
1970,8,48.00999832,1032.780029,299.3900757
1970,9,46.22000122,857.0700073,264.9901312
1970,10,10.35000038,524.2700195,129.2228477
1970,11,0,1021.210022,79.04753435
1970,12,0,703.5999756,77.81187287
1971,1,0,146.1999969,7.283541617
1971,2,0,212.9700012,24.7849347
1971,3,0,196.7400055,33.11280628
1971,4,0,173.4900055,65.81468644
1971,5,47.97000122,545.6799927,214.9061038
1971,6,26.37999916,1076.040039,210.1735661
1971,7,23.20000076,692.7000122,200.3508048
1971,8,59.91999817,819.2999878,270.5188434
1971,9,64.83999634,462.6300049,209.4358483
1971,10,7.710000038,734.5200195,158.4818772
1971,11,0,864.789978,61.40554507
1971,12,0,651.3800049,55.2995715
1972,1,0,92.80000305,4.386173654
1972,2,0,120.2600021,20.89791363
1972,3,0,196.5700073,39.95291269
1972,4,19.51000023,377.6400146,108.2720633
1972,5,5.900000095,254.3999939,89.54588874
1972,6,52.61000061,771.2399902,213.1400959
1972,7,19.30999947,913.6900024,176.1573762
1972,8,9.680000305,761.6799927,198.4190878
1972,9,62.31999969,739.7999878,269.7599071
1972,10,46.43000031,388.8900146,167.9836013
1972,11,0.5,658.6500244,117.3788534
1972,12,0,433.4899902,43.37566341
1973,1,0,109.1999969,6.119834608
1973,2,0,102.6900024,4.09011309
1973,3,0,369.769989,54.89571212
1973,4,0,243.9299927,39.17693123
1973,5,40.11000061,363.7900085,177.6940888
1973,6,33.50999832,1064.599976,184.4075776
1973,7,38.72999954,1088.560059,224.7211371
1973,8,47.00999832,1209.699951,225.5021662
1973,9,60.15999985,719.8699951,279.6707472
1973,10,3.809999943,592.5900269,116.734004
1973,11,0,736.8800049,80.54903793
1973,12,0,1299.160034,58.84397567
1974,1,0,168.6999969,5.901240135
1974,2,0,141.1000061,13.65529554
1974,3,0.189999998,212.9700012,48.33632487
1974,4,12.40999985,311.7399902,116.7598619
1974,5,43.11000061,376.2200012,172.8930261
1974,6,19.34000015,464.2900085,135.1083621
1974,7,39.93999863,736.4000244,171.5520006
1974,8,36.20000076,1100.599976,273.8994681
1974,9,52.25999832,595.3200073,222.4293964
1974,10,22.96999931,779,200.9504948
1974,11,3.200000048,873.0100098,119.8758715
1974,12,0,838.3800049,47.03726175
1975,1,0.899999976,1239.469971,112.5281397
1975,2,0,158.4900055,23.00624214
1975,3,0,144.5899963,33.41594978
1975,4,0,228.2899933,37.28742409
1975,5,88.30999756,515.789978,217.1552117
1975,6,36.25999832,1718.199951,209.0002773
1975,7,13.90999985,712.9000244,198.7323843
1975,8,34.88999939,1232.859985,259.9007389
1975,9,70.22000122,577.8699951,246.5237178
1975,10,26.87999916,740.5700073,190.2531642
1975,11,0,616.8900146,86.23753658
1975,12,0,602.4000244,41.82790409
1976,1,0,154.75,2.13674302
1976,2,0,149.6999969,17.95830804
1976,3,0,220.6999969,34.48855918
1976,4,2.910000086,238.6499939,79.66232686
1976,5,78.58999634,1056.369995,200.2603482
1976,6,19.44000053,523.0999756,130.3899709
1976,7,46.81000137,981.5999756,208.8941273
1976,8,43.70000076,672.5,243.2299212
1976,9,39.90999985,791.7999878,253.3222123
1976,10,71.61000061,461.0799866,197.0662278
1976,11,0,1497.670044,114.1914056
1976,12,0,229.8899994,13.66243412
1977,1,0,287.7399902,27.87541652
1977,2,0,346.2999878,11.21238276
1977,3,0,153.9799957,25.69314502
1977,4,0,196.4900055,74.31996991
1977,5,28.90999985,381.7999878,151.959941
1977,6,8.100000381,752.7000122,108.1586842
1977,7,34.70000076,882.4000244,170.0577724
1977,8,24.04999924,1004.200012,227.0427461
1977,9,32.5,1123,256.090073
1977,10,5.710000038,580.8699951,131.1274474
1977,11,0,759.210022,64.29478166
1977,12,0,386.2900085,33.10119929
1978,1,0,262.5,28.19141919
1978,2,0,256.7600098,30.08257962
1978,3,0,116.6900024,23.84177914
1978,4,2.5,284.3900146,84.59084286
1978,5,84.37000275,452.0899963,200.9147091
1978,6,14.93000031,833.4000244,167.9556154
1978,7,51.15000153,957.4699707,286.3251074
1978,8,15.15999985,1275.699951,232.9255075
1978,9,86.5,982.2600098,305.9671127
1978,10,4.900000095,366,99.18977988
1978,11,0,481.0899963,35.5123067
1978,12,0,390.7900085,24.96277929
1979,1,0,59.49000168,5.510256814
1979,2,0,82.08999634,13.98861441
1979,3,0,87.5,5.046233726
1979,4,3.039999962,469.3999939,94.04552684
1979,5,28.20999908,595.2800293,187.9599242
1979,6,29.29000092,1171.400024,228.0667349
1979,7,19.85000038,1695.599976,155.8158601
1979,8,28.52000046,799.25,192.4600985
1979,9,68.51000214,806.710022,235.9805591
1979,10,0,402.480011,53.62318283
1979,11,0,1075.560059,51.18398659
1979,12,0,189.9900055,10.53747038
1980,1,0,39.79999924,1.345304761
1980,2,0,60.79000092,8.212346664
1980,3,0.600000024,146.1999969,30.5258966
1980,4,0,241.1999969,59.05998928
1980,5,21.43000031,423.0100098,192.1231251
1980,6,52.22999954,1053.300049,255.7614587
1980,7,31.94000053,680.4500122,207.2690763
1980,8,40.95999908,1723.599976,217.6753044
1980,9,55.29999924,612.9699707,288.619411
1980,10,25.51000023,432.5599976,157.2965293
1980,11,0,942.1699829,71.93241048
1980,12,0,802.7700195,35.75579111
1981,1,0,77.18000031,2.489876191
1981,2,0,97.48999786,18.94725487
1981,3,0,100.9700012,24.0904258
1981,4,6.130000114,341.1300049,97.14282378
1981,5,64.01000214,467.4400024,208.4351609
1981,6,11.71000004,1111.099976,184.1271455
1981,7,23.29999924,1190.599976,239.8723853
1981,8,5.199999809,1284.800049,193.455347
1981,9,17.80999947,637.75,174.6149065
1981,10,24.80999947,354.5599976,133.3193967
1981,11,4.710000038,767.0100098,138.0177714
1981,12,0,674.3599854,39.50807677
1982,1,0,28.75,0.955233832
1982,2,0,124.1500015,15.77140942
1982,3,0,197,42.03061575
1982,4,1.899999976,368.7099915,93.76167458
1982,5,31.44000053,402.2799988,154.6364522
