ProvinceID,Province_Name,Year,R35mm (Day)
10,Bangkok,1979,6
10,Bangkok,1980,8
10,Bangkok,1981,9
10,Bangkok,1982,10
10,Bangkok,1983,13
10,Bangkok,1984,7
10,Bangkok,1985,7
10,Bangkok,1986,8
10,Bangkok,1987,8
10,Bangkok,1988,13
10,Bangkok,1989,8
10,Bangkok,1990,8
10,Bangkok,1991,6
10,Bangkok,1992,10
10,Bangkok,1993,9
10,Bangkok,1994,10
10,Bangkok,1995,9
10,Bangkok,1996,10
10,Bangkok,1997,7
10,Bangkok,1998,14
10,Bangkok,1999,11
10,Bangkok,2000,10
10,Bangkok,2001,9
10,Bangkok,2002,8
10,Bangkok,2003,10
10,Bangkok,2004,7
10,Bangkok,2005,11
10,Bangkok,2006,10
10,Bangkok,2007,10
10,Bangkok,2008,9
10,Bangkok,2009,15
10,Bangkok,2010,12
10,Bangkok,2011,14
10,Bangkok,2012,8
10,Bangkok,2013,10
10,Bangkok,2014,5
10,Bangkok,2015,10
10,Bangkok,2016,14
10,Bangkok,2017,13
10,Bangkok,2018,10
10,Bangkok,2019,5
10,Bangkok,2020,9
10,Bangkok,2021,10
10,Bangkok,2022,15
10,Bangkok,2023,7
11,Samut Prakarn,1979,5
11,Samut Prakarn,1980,8
11,Samut Prakarn,1981,9
11,Samut Prakarn,1982,8
11,Samut Prakarn,1983,11
11,Samut Prakarn,1984,7
11,Samut Prakarn,1985,6
11,Samut Prakarn,1986,8
11,Samut Prakarn,1987,7
11,Samut Prakarn,1988,14
11,Samut Prakarn,1989,7
11,Samut Prakarn,1990,8
11,Samut Prakarn,1991,6
11,Samut Prakarn,1992,10
11,Samut Prakarn,1993,8
11,Samut Prakarn,1994,10
11,Samut Prakarn,1995,9
11,Samut Prakarn,1996,10
11,Samut Prakarn,1997,8
11,Samut Prakarn,1998,13
11,Samut Prakarn,1999,11
11,Samut Prakarn,2000,10
11,Samut Prakarn,2001,10
11,Samut Prakarn,2002,8
11,Samut Prakarn,2003,9
11,Samut Prakarn,2004,7
11,Samut Prakarn,2005,10
11,Samut Prakarn,2006,8
11,Samut Prakarn,2007,10
11,Samut Prakarn,2008,8
11,Samut Prakarn,2009,14
11,Samut Prakarn,2010,12
11,Samut Prakarn,2011,13
11,Samut Prakarn,2012,7
11,Samut Prakarn,2013,9
11,Samut Prakarn,2014,4
11,Samut Prakarn,2015,10
11,Samut Prakarn,2016,13
11,Samut Prakarn,2017,11
11,Samut Prakarn,2018,9
11,Samut Prakarn,2019,5
11,Samut Prakarn,2020,9
11,Samut Prakarn,2021,12
11,Samut Prakarn,2022,14
11,Samut Prakarn,2023,8
12,Nonthaburi,1979,6
12,Nonthaburi,1980,8
12,Nonthaburi,1981,8
12,Nonthaburi,1982,9
12,Nonthaburi,1983,13
12,Nonthaburi,1984,7
12,Nonthaburi,1985,7
12,Nonthaburi,1986,8
12,Nonthaburi,1987,7
12,Nonthaburi,1988,12
12,Nonthaburi,1989,8
12,Nonthaburi,1990,8
12,Nonthaburi,1991,6
12,Nonthaburi,1992,9
12,Nonthaburi,1993,8
12,Nonthaburi,1994,9
12,Nonthaburi,1995,9
12,Nonthaburi,1996,10
12,Nonthaburi,1997,6
12,Nonthaburi,1998,13
12,Nonthaburi,1999,11
12,Nonthaburi,2000,9
12,Nonthaburi,2001,8
12,Nonthaburi,2002,8
12,Nonthaburi,2003,10
12,Nonthaburi,2004,6
12,Nonthaburi,2005,10
12,Nonthaburi,2006,9
12,Nonthaburi,2007,10
12,Nonthaburi,2008,9
12,Nonthaburi,2009,14
12,Nonthaburi,2010,11
12,Nonthaburi,2011,13
12,Nonthaburi,2012,8
12,Nonthaburi,2013,10
12,Nonthaburi,2014,5
12,Nonthaburi,2015,9
12,Nonthaburi,2016,13
12,Nonthaburi,2017,12
12,Nonthaburi,2018,10
12,Nonthaburi,2019,4
12,Nonthaburi,2020,9
12,Nonthaburi,2021,9
12,Nonthaburi,2022,14
12,Nonthaburi,2023,6
13,Pathum Thani,1979,4
13,Pathum Thani,1980,6
13,Pathum Thani,1981,6
13,Pathum Thani,1982,6
13,Pathum Thani,1983,11
13,Pathum Thani,1984,6
13,Pathum Thani,1985,6
13,Pathum Thani,1986,6
13,Pathum Thani,1987,6
13,Pathum Thani,1988,11
13,Pathum Thani,1989,7
13,Pathum Thani,1990,7
13,Pathum Thani,1991,5
13,Pathum Thani,1992,8
13,Pathum Thani,1993,6
13,Pathum Thani,1994,8
13,Pathum Thani,1995,7
13,Pathum Thani,1996,8
13,Pathum Thani,1997,5
13,Pathum Thani,1998,11
13,Pathum Thani,1999,11
13,Pathum Thani,2000,10
13,Pathum Thani,2001,8
13,Pathum Thani,2002,8
13,Pathum Thani,2003,11
13,Pathum Thani,2004,6
13,Pathum Thani,2005,11
13,Pathum Thani,2006,10
13,Pathum Thani,2007,11
13,Pathum Thani,2008,8
13,Pathum Thani,2009,13
13,Pathum Thani,2010,11
13,Pathum Thani,2011,13
13,Pathum Thani,2012,9
13,Pathum Thani,2013,10
13,Pathum Thani,2014,7
13,Pathum Thani,2015,8
13,Pathum Thani,2016,11
13,Pathum Thani,2017,12
13,Pathum Thani,2018,11
13,Pathum Thani,2019,4
13,Pathum Thani,2020,10
13,Pathum Thani,2021,9
13,Pathum Thani,2022,13
13,Pathum Thani,2023,6
14,Phra Nakhon Si Ayutthaya,1979,4
14,Phra Nakhon Si Ayutthaya,1980,5
14,Phra Nakhon Si Ayutthaya,1981,5
14,Phra Nakhon Si Ayutthaya,1982,5
14,Phra Nakhon Si Ayutthaya,1983,9
14,Phra Nakhon Si Ayutthaya,1984,5
14,Phra Nakhon Si Ayutthaya,1985,5
14,Phra Nakhon Si Ayutthaya,1986,6
14,Phra Nakhon Si Ayutthaya,1987,5
14,Phra Nakhon Si Ayutthaya,1988,8
14,Phra Nakhon Si Ayutthaya,1989,6
14,Phra Nakhon Si Ayutthaya,1990,6
14,Phra Nakhon Si Ayutthaya,1991,4
14,Phra Nakhon Si Ayutthaya,1992,6
14,Phra Nakhon Si Ayutthaya,1993,5
14,Phra Nakhon Si Ayutthaya,1994,8
14,Phra Nakhon Si Ayutthaya,1995,8
14,Phra Nakhon Si Ayutthaya,1996,9
14,Phra Nakhon Si Ayutthaya,1997,6
14,Phra Nakhon Si Ayutthaya,1998,10
14,Phra Nakhon Si Ayutthaya,1999,11
14,Phra Nakhon Si Ayutthaya,2000,8
14,Phra Nakhon Si Ayutthaya,2001,7
14,Phra Nakhon Si Ayutthaya,2002,8
14,Phra Nakhon Si Ayutthaya,2003,10
14,Phra Nakhon Si Ayutthaya,2004,5
14,Phra Nakhon Si Ayutthaya,2005,10
14,Phra Nakhon Si Ayutthaya,2006,9
14,Phra Nakhon Si Ayutthaya,2007,9
14,Phra Nakhon Si Ayutthaya,2008,8
14,Phra Nakhon Si Ayutthaya,2009,10
14,Phra Nakhon Si Ayutthaya,2010,10
14,Phra Nakhon Si Ayutthaya,2011,11
14,Phra Nakhon Si Ayutthaya,2012,9
14,Phra Nakhon Si Ayutthaya,2013,9
14,Phra Nakhon Si Ayutthaya,2014,7
14,Phra Nakhon Si Ayutthaya,2015,8
14,Phra Nakhon Si Ayutthaya,2016,10
14,Phra Nakhon Si Ayutthaya,2017,11
14,Phra Nakhon Si Ayutthaya,2018,8
14,Phra Nakhon Si Ayutthaya,2019,4
14,Phra Nakhon Si Ayutthaya,2020,10
14,Phra Nakhon Si Ayutthaya,2021,9
14,Phra Nakhon Si Ayutthaya,2022,11
14,Phra Nakhon Si Ayutthaya,2023,6
15,Ang Thong,1979,5
15,Ang Thong,1980,6
15,Ang Thong,1981,6
15,Ang Thong,1982,5
15,Ang Thong,1983,10
15,Ang Thong,1984,6
